time (ms),IQ
0.0,(5.581569144702391-2.8722563163644725j)
2e-05,(6.019079060475665-1.334784854099477j)
4e-05,(5.92280583425978-2.447529391312793j)
6e-05,(5.7931593855423635-3.368800347171926j)
8e-05,(6.047270490239959-1.7090761752938588j)
0.0001,(5.2618418717320115-2.9453355386382416j)
0.00012,(5.685806098997424-2.3088403010031815j)
0.00014,(5.573129223816238-2.8820985065210194j)
0.00016,(5.607741196344171-1.765941119616182j)
0.00018,(5.814698564600965-2.972297858770272j)
0.0002,(5.562686449893675-2.6951023662697557j)
0.00022,(6.425013873613945-2.1503350791726197j)
0.00024,(6.0165809560438195-2.6843750889483387j)
0.00026,(5.601235081842712-2.3378835074544972j)
0.00028,(5.2858804792056056-2.2231010764586605j)
0.0003,(5.671544430282348-2.440959488640855j)
0.00032,(5.756122200256647-2.8703623120783606j)
0.00034,(5.654375382346492-2.7623370374815925j)
0.00036,(6.713520792181324-2.627808974994224j)
0.00038,(5.314625933629464-2.304213410700904j)
0.0004,(5.883036773603131-2.2294345380388285j)
0.00042,(5.822714579049408-2.4316289574569456j)
0.00044,(5.782981565713166-2.265945317519237j)
0.00046,(5.219562214012292-3.030546245166478j)
0.00048,(5.851767508385393-2.400765439345315j)
0.0005,(5.9261602341873285-2.521628897659271j)
0.00052,(6.102589892276772-2.3349250176650385j)
0.00054,(6.027095213718483-2.2492426899185887j)
0.00056,(6.2721089177425196-2.850365978354739j)
0.00058,(5.183954160336096-2.53666623848487j)
0.0006,(5.787701252540683-2.0551743176526336j)
0.00062,(6.700860770796144-2.3986812192535694j)
0.00064,(6.219389549387826-2.533416979856915j)
0.00066,(5.381547537224352-2.9059546651153543j)
0.00068,(5.89540435459888-2.3190565489457007j)
0.0007,(5.51688894748835-2.963420306288521j)
0.00072,(5.722179543014424-2.559466838131679j)
0.00074,(6.532578763832716-2.6637409482103003j)
0.00076,(6.1855235061521965-2.3688557869977256j)
0.00078,(5.35937646756312-2.699563763678957j)
0.0008,(5.610951646519299-2.609485533514375j)
0.00082,(5.866296860296799-2.803569722296724j)
0.00084,(5.777915026211714-2.5828116519076416j)
0.00086,(5.970434936863769-2.428422383346722j)
0.00088,(5.607904461111479-2.6157952876766197j)
0.0009,(5.743951194240364-2.6045064016909025j)
0.00092,(5.604024760587092-2.4451564727602455j)
0.00094,(5.743484364080698-2.1663006469435433j)
0.00096,(6.1006597032209156-2.2517964121849374j)
0.00098,(5.964939659079243-2.9312604334251113j)
0.001,(5.632258016762885-2.244203080171933j)
0.00102,(6.2434588544871845-2.0440491945478203j)
0.00104,(6.220604023589525-2.264769632398115j)
0.00106,(5.865653444289772-3.3045030242475493j)
0.00108,(5.780003312100669-2.411748336748087j)
0.0011,(6.453538477451831-2.0388389681207255j)
0.00112,(6.401665115389006-2.649539133645313j)
0.00114,(5.361038142958939-1.5332844403626744j)
0.00116,(6.264123267217789-3.2267546434317347j)
0.00118,(6.44062170803906-2.45128405803611j)
0.0012,(6.084905433398117-2.2588707889057127j)
0.00122,(5.710385093542238-2.442638518677411j)
0.00124,(5.750796860491778-2.448667270077256j)
0.00126,(6.436231001153843-2.846710860325201j)
0.00128,(6.14450081468317-2.691772796443226j)
0.0013,(6.048443041786697-2.30877859873178j)
0.00132,(6.643619197292331-3.2045792194596663j)
0.00134,(5.530122843868979-2.198227826827584j)
0.00136,(5.835775779464189-2.5380154379443485j)
0.00138,(5.9293580325203825-2.315908451341967j)
0.0014,(5.795496480804428-2.2178715642930547j)
0.00142,(5.252570586982097-1.2565809000449575j)
0.00144,(6.200648993764971-2.0337622616615976j)
0.00146,(5.615621449238618-2.900580330895432j)
0.00148,(5.609647970072228-1.7794283816241463j)
0.0015,(5.746342253879005-3.4044437921491877j)
0.00152,(5.789282321202566-2.6479133152456833j)
0.00154,(5.825523579966334-2.442132258470569j)
0.00156,(6.187262425027622-2.6080005520840666j)
0.00158,(6.255640786261306-2.4060807199958707j)
0.0016,(5.779578268685171-2.5562503587250807j)
0.00162,(5.666644509731599-2.071749561665781j)
0.00164,(5.823221889592692-2.6607486382505803j)
0.00166,(5.568137932306645-2.538546573085676j)
0.00168,(5.856571362223265-1.9094998295072947j)
0.0017,(5.550650008289455-2.1772913059593058j)
0.00172,(6.575099316615295-2.5566279266192438j)
0.00174,(5.908664325386966-2.3425612163731104j)
0.00176,(5.686749129308343-1.8757820459529144j)
0.00178,(6.101312621468991-2.96152369083099j)
0.0018,(5.455339654741165-2.8624925310424967j)
0.00182,(5.628838554570608-2.691535156451406j)
0.00184,(6.007289162449074-2.427602717417977j)
0.00186,(5.911151621354729-2.1772052308488505j)
